business_id,business_address,business_city,business_latitude,business_longitude,inspection_score
19,"1200 Van Ness Ave, 3rd Floor",San Francisco,37.786848,-122.421547,94.66666666666667
24,"500 California St, 2nd  Floor",San Francisco,37.792888,-122.403135,98.0
31,2801 Leavenworth St,San Francisco,37.807155,-122.419004,95.0
45,3202 FOLSOM St,San Francisco,37.747114,-122.413641,88.0
48,747 IRVING St,San Francisco,37.764013,-122.465749,89.8
54,2180 POST St,San Francisco,37.784626,-122.437734,89.8
58,91 Drumm St,San Francisco,37.794483,-122.396584,74.80952380952381
61,Pier 39  Space A3,San Francisco,37.808240000000005,-122.41018899999999,94.8
66,1800 IRVING St,San Francisco,37.763578,-122.477461,97.0
73,2101 Fillmore St,San Francisco,37.788932,-122.43389499999999,83.85714285714286
76,"500 California St, 3rd Floor",San Francisco,37.792888,-122.403135,98.66666666666667
77,"500 California St, Basement",San Francisco,37.792888,-122.403135,94.66666666666667
80,2199 Fulton St,San Francisco,37.774941,-122.452797,97.33333333333333
88,1435 17th St,San Francisco,37.765003,-122.39808400000001,85.6
95,419 CORTLAND Ave,San Francisco,37.739207,-122.417447,88.0
98,7 Columbus Ave,San Francisco,37.801665,-122.412104,95.33333333333333
99,779 Clay St,San Francisco,37.794292999999996,-122.40596699999999,83.0
101,1099 Powell St,San Francisco,37.794615,-122.409705,90.8
102,542A Mason St,San Francisco,37.788484000000004,-122.410045,88.0
108,900 Pine St,San Francisco,37.790867999999996,-122.410854,100.0
116,Pier 7 Embarcadero,San Francisco,37.793874,-122.396464,81.44444444444444
121,431 Bush St,San Francisco,37.790642999999996,-122.404676,89.5
125,391 Broadway St,San Francisco,37.798233,-122.40363700000002,92.0
134,400 McAllister St,San Francisco,37.780246999999996,-122.418974,87.0
140,300 California St,San Francisco,37.793268,-122.400323,80.06666666666666
141,2435 CALIFORNIA St,San Francisco,37.788773,-122.434697,100.0
146,3227 16th St,San Francisco,37.764713,-122.42470900000001,84.23076923076923
151,256 Divisadero St,San Francisco,37.771487,-122.43704699999999,81.0
155,609 Cole St,San Francisco,37.769303,-122.450724,84.53846153846153
164,"50 Post St, 3rd Floor",San Francisco,37.789064,-122.40286100000002,87.22222222222223
184,1109 VALENCIA St,San Francisco,37.755124,-122.42091599999999,91.5
187,"750 FONT, BLDG B Blvd",San Francisco,37.723054,-122.48361200000001,95.0
190,299 02nd St,San Francisco,37.785614,-122.396693,100.0
192,384 B Hayes St,San Francisco,37.777014,-122.42234499999999,86.0
194,2011 BAYSHORE Blvd,San Francisco,37.715126,-122.398901,84.8
198,3801 03rd St 310,San Francisco,37.741828999999996,-122.388098,94.0
200,600 20th St,San Francisco,37.760568,-122.387772,88.0
208,4124 03rd St,San Francisco,37.739961,-122.389003,90.0
217,400 CORTLAND Ave,San Francisco,37.739143,-122.417653,90.63636363636364
226,125 Vallejo St,San Francisco,37.799594,-122.400586,81.06666666666666
236,576 Union St,San Francisco,37.800543,-122.40878400000001,94.6
239,1241 Vicente St,San Francisco,37.739063,-122.48040900000001,88.0
240,3639 BALBOA St,San Francisco,37.775663,-122.497949,80.72222222222223
247,401 Clement St,San Francisco,37.782953000000006,-122.46351000000001,87.84615384615384
251,602 Irving St,San Francisco,37.764148,-122.46439099999999,98.0
253,4488 Mission St,San Francisco,37.725949,-122.43390600000001,93.55555555555556
256,4346 Mission St,San Francisco,37.727983,-122.432101,92.0
268,2026 CHESTNUT St,San Francisco,37.800767,-122.436924,85.6
272,1581 Webster St #206,San Francisco,37.785227,-122.431472,79.0
273,3137 LAGUNA St,San Francisco,37.800133,-122.43106399999999,80.58333333333333
275,170 O'Farrell St Basement,San Francisco,37.786547999999996,-122.40731299999999,95.6
276,1668 UNION St,San Francisco,37.79826,-122.426748,100.0
279,1026 Hyde St,San Francisco,37.790347,-122.417227,92.44444444444444
281,3314 STEINER St,San Francisco,37.799807,-122.437649,98.0
283,707 ELLIS St,San Francisco,37.784193,-122.41796699999999,84.375
286,101 EDDY St,San Francisco,37.784303,-122.40964699999999,82.8695652173913
290,3340 STEINER St,San Francisco,37.800187,-122.43775600000001,98.0
298,1441 Polk St,San Francisco,37.790134,-122.420634,88.72727272727273
